Timestamp,VideoFile,TriggerStrangerCount,MaxStrangerCount,BestDistance
2026-04-26 19:47:29,stranger_2026-04-26_19-47-29.mp4,1,2,0.1772
2026-04-26 19:47:37,stranger_2026-04-26_19-47-37.mp4,1,1,0.1523
2026-04-26 19:47:51,stranger_2026-04-26_19-47-51.mp4,1,1,0.2250
2026-04-26 19:47:57,stranger_2026-04-26_19-47-57.mp4,1,1,0.2462
2026-04-26 19:48:02,stranger_2026-04-26_19-48-02.mp4,1,1,0.2662
2026-04-26 19:48:08,stranger_2026-04-26_19-48-08.mp4,1,1,0.2143
2026-04-26 19:48:14,stranger_2026-04-26_19-48-14.mp4,1,1,0.2740
2026-04-26 19:48:20,stranger_2026-04-26_19-48-20.mp4,1,1,0.2810
2026-04-26 19:48:25,stranger_2026-04-26_19-48-25.mp4,1,2,0.2809
2026-04-27 17:49:53,stranger_2026-04-27_17-49-53.mp4,1,1,0.1678
